Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782762562,109,,Aggregated,520.300000,516.600000,5,7,8,10,15,24,46,52,95,140,240,92307,91397,5,8.256612054337879,1.262400000996422,235.06439999619033,115.04633451417553
1782762563,109,,Aggregated,518.400000,515.100000,5,7,8,10,15,24,46,52,95,140,240,92882,91965,5,8.26724739777141,1.262400000996422,235.06439999619033,114.80718546112271
1782762564,109,,Aggregated,520.500000,517.200000,5,7,8,10,15,24,46,52,95,140,240,93359,92438,5,8.304109353140277,1.262400000996422,235.06439999619033,114.92814833063764
1782762565,109,,Aggregated,530.900000,527.500000,5,7,9,10,15,24,46,52,95,140,240,93838,92914,5,8.358767552589836,1.262400000996422,235.06439999619033,114.73219804343655
1782762566,109,,Aggregated,538.600000,534.900000,5,7,9,10,15,24,46,53,96,140,240,94356,93427,5,8.403464693289301,1.262400000996422,235.06439999619033,114.54691805502564
1782762567,109,,Aggregated,532.700000,529.300000,5,7,9,10,15,24,46,53,96,140,240,94870,93938,5,8.415034426057199,1.262400000996422,235.06439999619033,114.37781174238431
1782762568,109,,Aggregated,532.200000,528.900000,5,7,9,10,15,24,46,53,96,140,240,95397,94461,5,8.421854955607333,1.262400000996422,235.06439999619033,114.1694288080338
1782762569,109,,Aggregated,529.000000,525.500000,5,7,9,10,15,24,46,53,96,140,240,95943,95003,5,8.439974092950418,1.262400000996422,235.06439999619033,114.26312498045715
1782762570,109,,Aggregated,521.300000,517.400000,5,7,9,10,15,24,47,53,97,140,240,96467,95518,5,8.469313772584789,1.262400000996422,235.06439999619033,114.05646490509707
1782762571,109,,Aggregated,521.100000,517.100000,5,7,9,10,15,24,47,53,97,140,240,97027,96076,5,8.461007145434165,1.262400000996422,235.06439999619033,114.14502148886392
1782762572,109,,Aggregated,517.000000,512.900000,5,7,9,10,15,24,47,53,97,140,240,97536,96582,5,8.471056288959595,1.262400000996422,235.06439999619033,113.94969037073491
1782762573,109,,Aggregated,523.700000,519.100000,5,7,9,10,15,24,47,53,96,140,240,98084,97129,5,8.475836613514812,1.262400000996422,235.06439999619033,113.77681375147833
1782762574,109,,Aggregated,524.100000,519.500000,5,7,9,10,15,24,47,53,99,140,240,98513,97556,5,8.5318384121882,1.262400000996422,235.06439999619033,113.63148010922416
1782762575,109,,Aggregated,516.900000,512.600000,5,7,9,10,15,25,47,53,100,140,240,98995,98034,5,8.581215200767021,1.262400000996422,235.06439999619033,113.7484923480984
1782762576,109,,Aggregated,513.500000,510.100000,5,7,9,10,16,25,47,53,100,140,240,99451,98482,5,8.62535529858894,1.262400000996422,235.06439999619033,114.17893233853857
1782762577,109,,Aggregated,510.900000,507.300000,5,7,9,10,16,25,47,53,100,140,240,99985,99013,5,8.639910948642203,1.262400000996422,235.06439999619033,113.9787468120218
1782762578,109,,Aggregated,504.800000,500.800000,5,7,9,11,16,25,47,53,100,140,240,100534,99558,5,8.650524483259604,1.262400000996422,235.06439999619033,113.80879105576223
1782762579,109,,Aggregated,508.000000,504.100000,6,7,9,11,16,25,47,53,100,140,240,101083,100105,6,8.656019244581362,1.262400000996422,235.06439999619033,113.60739194523312
1782762580,109,,Aggregated,505.000000,501.200000,6,7,9,11,16,25,47,53,100,140,240,101594,100613,6,8.662014332538234,1.262400000996422,235.06439999619033,113.42109770262023
1782762581,109,,Aggregated,508.900000,505.300000,6,7,9,11,16,25,47,54,100,140,240,102082,101097,6,8.70245700515157,1.262400000996422,235.06439999619033,113.53485433279128
1782762582,109,,Aggregated,508.300000,504.700000,6,7,9,11,16,25,47,54,100,140,240,102671,101680,6,8.705303819967416,1.262400000996422,235.06439999619033,113.70988886832698
1782762583,109,,Aggregated,500.900000,497.800000,6,7,9,11,16,25,47,54,100,140,240,103221,102227,6,8.697008390732927,1.262400000996422,235.06439999619033,114.08394609624011
1782762584,109,,Aggregated,501.200000,497.900000,6,7,9,11,16,25,47,54,100,140,240,103734,102738,6,8.703191804035512,1.262400000996422,235.06439999619033,113.89914589237858
1782762585,109,,Aggregated,504.100000,500.400000,6,7,9,11,16,25,47,54,100,140,240,104269,103269,6,8.705876158779722,1.262400000996422,235.06439999619033,114.02387094917952
1782762586,109,,Aggregated,509.000000,505.100000,6,7,9,11,16,25,47,54,100,140,240,104798,103791,6,8.717329478613204,1.262400000996422,235.06439999619033,114.42897765224527
1782762587,109,,Aggregated,518.200000,514.400000,6,7,9,11,16,25,47,54,100,140,240,105391,104376,6,8.717579466934104,1.262400000996422,235.06439999619033,114.28012828419884
1782762588,109,,Aggregated,527.700000,523.900000,6,7,9,11,16,25,47,54,100,140,240,105968,104948,6,8.727304406045334,1.262400000996422,235.06439999619033,114.10609806734108
1782762589,109,,Aggregated,529.200000,525.300000,6,7,9,11,16,25,47,54,99,140,240,106522,105498,6,8.723140491165065,1.262400000996422,235.06439999619033,113.94233116163797
1782762590,109,,Aggregated,537.500000,533.100000,6,7,9,11,16,25,47,54,100,140,240,107097,106068,6,8.73717570986939,1.262400000996422,235.06439999619033,113.73998337955311
1782762591,109,,Aggregated,536.700000,532.200000,6,7,9,11,16,25,47,54,100,140,240,107683,106650,6,8.739671367810956,1.262400000996422,235.06439999619033,113.84343861148
1782762592,109,,Aggregated,540.400000,535.600000,6,7,9,11,16,25,47,54,99,140,240,108165,107128,6,8.74744591041419,1.262400000996422,235.06439999619033,113.96502565524892
1782762593,109,,Aggregated,552.100000,547.200000,6,7,9,11,16,25,47,54,99,140,240,108666,107628,6,8.76251079454423,1.262400000996422,235.06439999619033,113.82533635175676
1782762594,109,,Aggregated,554.000000,549.100000,6,7,9,11,16,25,47,54,98,140,240,109242,108202,6,8.759688288385872,1.262400000996422,235.06439999619033,113.6297944014207
1782762595,109,,Aggregated,543.000000,538.400000,6,7,9,11,16,25,47,54,98,140,240,109775,108730,6,8.763381316326207,1.262400000996422,235.06439999619033,113.75638351172853
1782762596,109,,Aggregated,542.400000,537.900000,6,7,9,11,16,25,47,54,98,140,240,110301,109253,6,8.763184924884712,1.262400000996422,235.06439999619033,113.57994941115675
1782762597,109,,Aggregated,547.000000,542.600000,6,7,9,11,16,25,47,54,98,140,240,110958,109907,6,8.758850962523274,1.262400000996422,235.06439999619033,113.36132590709998
1782762598,109,,Aggregated,545.400000,541.300000,6,7,9,11,16,25,47,54,98,140,240,111500,110448,6,8.748073634975155,1.262400000996422,235.06439999619033,113.18361434977578
1782762599,109,,Aggregated,545.600000,541.600000,6,7,9,11,16,25,47,54,98,140,240,112035,110975,6,8.73523731869253,1.262400000996422,235.06439999619033,113.79675994108983
1782762600,109,,Aggregated,549.200000,545.800000,6,7,9,11,16,24,47,54,98,140,240,112608,111544,6,8.72729704106041,1.262400000996422,235.06439999619033,113.60774545325377
1782762601,109,,Aggregated,550.300000,547.000000,6,7,9,11,16,24,47,54,98,140,240,113230,112161,6,8.716015018985146,1.262400000996422,235.06439999619033,113.92505519738584
1782762602,109,,Aggregated,548.000000,544.500000,6,7,9,11,16,25,47,54,98,140,240,113783,112710,6,8.72164428868729,1.262400000996422,235.06439999619033,113.74425001977448
1782762603,109,,Aggregated,546.400000,542.700000,6,7,9,11,16,25,47,54,98,140,240,114364,113284,6,8.730419030460125,1.262400000996422,235.06439999619033,113.81264209016824
1782762604,109,,Aggregated,552.100000,548.700000,6,7,9,11,16,25,47,54,98,140,240,114896,113813,6,8.732822389807806,1.262400000996422,235.06439999619033,113.6412581813118
1782762605,109,,Aggregated,558.500000,554.900000,6,7,9,11,16,24,47,54,98,140,240,115454,114363,6,8.721093401695175,1.262400000996422,235.06439999619033,114.52552531744244
